,a,method,basis,single_atom_en,bulk_en,bulk_corrected_en,coh_en,coh_corrected_en
0,3.35,CCSD-SVC,dzvp,-7.423287218805664,-7.475797210497751,-7.476729122098583,-0.052509991692087254,-0.05344190329291987
1,3.4,CCSD-SVC,dzvp,-7.423107718440973,-7.476162879572226,-7.477097446159282,-0.05305516113125286,-0.053989727718308345
2,3.45,CCSD-SVC,dzvp,-7.422903939978078,-7.4763919525955975,-7.4773291563201205,-0.05348801261751923,-0.054425216342042226
3,3.5,CCSD-SVC,dzvp,-7.422672966298923,-7.476477070631906,-7.4774168937747225,-0.05380410433298266,-0.05474392747579948
4,3.55,CCSD-SVC,dzvp,-7.422411658614937,-7.476431700346492,-7.477374125322328,-0.05402004173155461,-0.05496246670739069
5,3.6,CCSD-SVC,dzvp,-7.422116677918163,-7.476269744254127,-7.47721475361534,-0.05415306633596373,-0.05509807569717662
6,3.65,CCSD-SVC,dzvp,-7.421784523855257,-7.475995188654039,-7.476942765093816,-0.05421066479878256,-0.05515824123855939
0,3.35,CCSD-SVC,tzv2p,-7.431582842644517,-7.486368987629998,-7.4873008992308305,-0.05478614498548051,-0.055718056586313125
1,3.4,CCSD-SVC,tzv2p,-7.431547616703233,-7.486671692726544,-7.4876062593136,-0.055124076023311375,-0.05605864261036775
2,3.45,CCSD-SVC,tzv2p,-7.431506512424685,-7.486844780057367,-7.48778198378189,-0.055338267632682125,-0.05627547135720512
3,3.5,CCSD-SVC,tzv2p,-7.431458458077655,-7.486883328754496,-7.487823151897313,-0.05542487067684121,-0.05636469381965803
4,3.55,CCSD-SVC,tzv2p,-7.431402236091784,-7.486803477479876,-7.487745902455712,-0.05540124138809244,-0.05634366636392851
5,3.6,CCSD-SVC,tzv2p,-7.431336470953132,-7.486622014620731,-7.487567023981943,-0.055285543667598525,-0.056230553028810526
6,3.65,CCSD-SVC,tzv2p,-7.431259621332514,-7.48634600223344,-7.487293578673216,-0.0550863809009261,-0.056033957340702045
0,3.35,CCSD-SVC,qzv3p,-7.4343985012531215,-7.489532812679211,-7.490464724280043,-0.055134311426089155,-0.05606622302692177
1,3.4,CCSD-SVC,qzv3p,-7.434393974122773,-7.4898339245884795,-7.490768491175536,-0.05543995046570682,-0.056374517052763196
2,3.45,CCSD-SVC,qzv3p,-7.434388641839641,-7.490004154677437,-7.49094135840196,-0.055615512837795755,-0.05655271656231875
3,3.5,CCSD-SVC,qzv3p,-7.43438227709812,-7.490042106098276,-7.490981929241093,-0.05565982900015598,-0.0565996521429728
4,3.55,CCSD-SVC,qzv3p,-7.434374596828152,-7.489963360524136,-7.490905785499973,-0.05558876369598398,-0.05653118867182094
5,3.6,CCSD-SVC,qzv3p,-7.43436525497546,-7.489785378936658,-7.49073038829787,-0.05542012396119844,-0.05636513332241044
6,3.65,CCSD-SVC,qzv3p,-7.434353835059285,-7.489516111931536,-7.490463688371314,-0.0551622768722515,-0.05610985331202922
0,3.35,CCSD-SVC,cbs,-7.436294119334786,-7.4916650464979355,-7.492596958098768,-0.05537092716314973,-0.056302838763982344
1,3.4,CCSD-SVC,cbs,-7.436295249094804,-7.491964879007495,-7.492899445594551,-0.055669629912690866,-0.05660419649974724
2,3.45,CCSD-SVC,cbs,-7.436295543217494,-7.492132498876198,-7.493069702600721,-0.0558369556587035,-0.0567741593832265
3,3.5,CCSD-SVC,cbs,-7.436294767986908,-7.492168780971118,-7.493108604113935,-0.05587401298421035,-0.05681383612702717
4,3.55,CCSD-SVC,cbs,-7.436292624486607,-7.492088475583108,-7.493030900558946,-0.05579585109650065,-0.0567382760723385
5,3.6,CCSD-SVC,cbs,-7.436288744581367,-7.491908967487273,-7.492853976848485,-0.0556202229059064,-0.056565232267118404
6,3.65,CCSD-SVC,cbs,-7.436282686075468,-7.491638132556205,-7.492585708995984,-0.055355446480737314,-0.05630302292051592
