,a,basis,direct extrap corr
0,3.35,dzvp,-0.03195456402315691
1,3.35,qzv3p,-0.04109677958839507
2,3.35,tzv2p,-0.038499080735744214
3,3.4,dzvp,-0.03193782547802511
4,3.4,qzv3p,-0.04109580403312353
5,3.4,tzv2p,-0.03849035314552485
6,3.45,dzvp,-0.031921265534843216
7,3.45,qzv3p,-0.04109491927913758
8,3.45,tzv2p,-0.03848175813170879
9,3.5,dzvp,-0.03190495002533318
10,3.5,qzv3p,-0.04109413772184707
11,3.5,tzv2p,-0.038473316874248535
12,3.55,dzvp,-0.03188894048023473
13,3.55,qzv3p,-0.041093471795962414
14,3.55,tzv2p,-0.038465063523265286
15,3.6,dzvp,-0.0318732912378491
16,3.6,qzv3p,-0.041092935149223055
17,3.6,tzv2p,-0.038457041985573294
18,3.65,dzvp,-0.031858053737475085
19,3.65,qzv3p,-0.041092543481535126
20,3.65,tzv2p,-0.0384493032000984
