,method,basis,a_min,a_min_corrected,B,B_corrected,E_coh,E_coh_corrected
0,HF,dzvp,3.9292042394869098,3.9292042394869098,0.04359854334240151,0.04359854334240151,-0.022757300290090262,-0.022757300290090262
0,CCSD,dzvp,3.6618214536381313,3.6618218512254748,0.06989661490767517,0.06989623053909787,-0.048744979348399546,-0.04946981830532657
0,CCSD+(T),dzvp,3.655007816977409,3.655007838980088,0.0707071119888715,0.07070708421591841,-0.051684355233762004,-0.05240919386432736
0,CCSD-SAC,dzvp,3.7173252061265574,3.7187898942915765,0.060393355295452596,0.060170019199080445,-0.060873403821281924,-0.061749675833071345
0,CCSD-SVC,dzvp,3.6651030969007703,3.6670406652848286,0.0694584702340973,0.06912383287076845,-0.05421287844082441,-0.05516126800133285
0,HF,tzv2p,3.720681717498275,3.720681717498275,0.07715000774500165,0.07715000774500165,-0.022461618504554703,-0.022461618504554703
0,CCSD,tzv2p,3.5123746394839386,3.51238207339417,0.11479845278846083,0.11478386282372291,-0.049931560432472086,-0.050656388761001675
0,CCSD+(T),tzv2p,3.5072916921902775,3.507291684583644,0.11564599106021811,0.11564598852523576,-0.05290001907892754,-0.05362485769405573
0,CCSD-SAC,tzv2p,3.5529208668096395,3.5538351844561746,0.10361741112646687,0.10338318397903343,-0.06324677269853292,-0.0641173950414764
0,CCSD-SVC,tzv2p,3.5148893143356537,3.5161406868921365,0.11444090076662367,0.1140958880661095,-0.055427665446615544,-0.05636830680461242
0,HF,qzv3p,3.684483591438668,3.684483591438668,0.09036908106422593,0.09036908106422593,-0.02221568893448865,-0.02221568893448865
0,CCSD,qzv3p,3.491461044376807,3.4914616734961634,0.12697724590260867,0.12697738985588894,-0.05014475792465173,-0.0508695966488757
0,CCSD+(T),qzv3p,3.486759340031135,3.4867593504565946,0.12775662573613364,0.12775662637304017,-0.053117669100402345,-0.0538425077194396
0,CCSD-SAC,qzv3p,3.5312248654349014,3.532053435183696,0.11548081471991692,0.11525647253553575,-0.06400174689868021,-0.0648716152075214
0,CCSD-SVC,qzv3p,3.4939456861908815,3.4950967139043714,0.12657681091426137,0.12624112286308295,-0.05565898027455278,-0.05659851834864876
0,HF,cbs,3.684483591438668,3.684483591438668,0.09036908106422593,0.09036908106422593,-0.02221568893448865,-0.02221568893448865
0,CCSD,cbs,3.4881210358066346,3.488121813955496,0.12788193089291225,0.12788195067438032,-0.05034573986372289,-0.05107057847221437
0,CCSD+(T),cbs,3.4833964110551525,3.4833971155061754,0.12867963066280674,0.12867946798061597,-0.053319379945162795,-0.05404421839534869
0,CCSD-SAC,cbs,3.5298908372537094,3.530718333090761,0.11564891095673725,0.11542230363549105,-0.06461876923762873,-0.06548859047434638
0,CCSD-SVC,cbs,3.490690005014354,3.4918361663971984,0.12741130823890254,0.12707101406975654,-0.05587440178819967,-0.056813768833375446
