,a,Nk_str,E_HF,E_CCSD_corr,kpts,basis,Nk,E_CCSD
0,3.9,222.0,-7.829757903513123,-0.3331302601682097,222,dzvp,6,-8.162888163681332
1,3.9,222.0,-7.84115938834819,,222,tzv2p_f,6,
2,3.9,222.0,-7.845185567401064,,222,qzv3p_f,6,
3,3.9,,-7.76937846352366,-0.366884552844498,333,dzvp,9,-8.136263016368158
4,3.9,333.0,-7.780027364187211,,333,tzv2p_f,9,
5,3.9,333.0,-7.784724806544514,,333,qzv3p_f,9,
6,3.9,444.0,-7.748982649297893,,444,dzvp,12,
7,3.9,444.0,-7.759466023280495,,444,tzv2p_f,12,
8,3.9,444.0,-7.764212165400323,,444,qzv3p_f,12,
9,3.9,555.0,-7.74138723780033,,555,dzvp,15,
10,3.9,555.0,-7.751826241147656,,555,tzv2p_f,15,
11,3.9,666.0,-7.735896891141742,,666,dzvp,18,
12,3.9,777.0,-7.73183632796213,,777,dzvp,21,
13,3.95,222.0,-7.836591795193317,-0.3307336065289948,222,dzvp,6,-8.167325401722312
14,3.95,222.0,-7.847390713309638,,222,tzv2p_f,6,
15,3.95,222.0,-7.851053087845843,,222,qzv3p_f,6,
16,3.95,,-7.77627376157939,-0.364322021767153,333,dzvp,9,-8.140595783346544
17,3.95,333.0,-7.786467241407942,,333,tzv2p_f,9,
18,3.95,333.0,-7.790779173249285,,333,qzv3p_f,9,
19,3.95,444.0,-7.755675337117486,,444,dzvp,12,
20,3.95,444.0,-7.765700296748049,,444,tzv2p_f,12,
21,3.95,444.0,-7.770061001613592,,444,qzv3p_f,12,
22,3.95,555.0,-7.748198088105491,,555,dzvp,15,
23,3.95,555.0,-7.758171085073966,,555,tzv2p_f,15,
24,3.95,666.0,-7.742853839672893,,666,dzvp,18,
25,3.95,777.0,-7.7388962675912305,,777,dzvp,21,
26,4.0,222.0,-7.841102270944422,-0.3284718681741537,222,dzvp,6,-8.169574139118575
27,4.0,222.0,-7.8513495489670815,,222,tzv2p_f,6,
28,4.0,222.0,-7.854686479595135,,222,qzv3p_f,6,
29,4.0,,-7.78087021820462,-0.36192025915046,333,dzvp,9,-8.14279047735508
30,4.0,333.0,-7.790667367191521,,333,tzv2p_f,9,
31,4.0,333.0,-7.794631217789405,,333,qzv3p_f,9,
32,4.0,444.0,-7.760078161719192,,444,dzvp,12,
33,4.0,444.0,-7.769709267518294,,444,tzv2p_f,12,
34,4.0,444.0,-7.773720792430561,,444,qzv3p_f,12,
35,4.0,555.0,-7.752663084093343,,555,dzvp,15,
36,4.0,555.0,-7.762229446634867,,555,tzv2p_f,15,
37,4.0,666.0,-7.747447828101395,,666,dzvp,18,
38,4.0,777.0,-7.74360437158783,,777,dzvp,21,
39,4.05,222.0,-7.843546114407251,-0.3263244028501731,222,dzvp,6,-8.169870517257424
40,4.05,222.0,-7.853287984925302,,222,tzv2p_f,6,
41,4.05,222.0,-7.856334794021629,,222,qzv3p_f,6,
42,4.05,,-7.78343840339427,-0.359649676291282,333,dzvp,9,-8.143088079685553
43,4.05,333.0,-7.792890339042319,,333,tzv2p_f,9,
44,4.05,333.0,-7.796540719112796,,333,qzv3p_f,9,
45,4.05,444.0,-7.762474389841264,,444,dzvp,12,
46,4.05,444.0,-7.7717707193922045,,444,tzv2p_f,12,
47,4.05,444.0,-7.775465613659664,,444,qzv3p_f,12,
48,4.05,555.0,-7.755049325281151,,555,dzvp,15,
49,4.05,555.0,-7.764262627486341,,555,tzv2p_f,15,
50,4.05,666.0,-7.7499382414229,,666,dzvp,18,
51,4.05,777.0,-7.746225088704316,,777,dzvp,21,
52,4.1,222.0,-7.84416096860757,-0.3242974757150047,222,dzvp,6,-8.168458444322575
53,4.1,222.0,-7.8534397738033475,,222,tzv2p_f,6,
54,4.1,222.0,-7.856228401011688,,222,qzv3p_f,6,
55,4.1,,-7.78423302530324,-0.357501816826793,333,dzvp,9,-8.141734842130033
56,4.1,333.0,-7.79338204965223,,333,tzv2p_f,9,
57,4.1,333.0,-7.79675065471817,,333,qzv3p_f,9,
58,4.1,444.0,-7.763146173367822,,444,dzvp,12,
59,4.1,444.0,-7.772160918950836,,444,tzv2p_f,12,
60,4.1,444.0,-7.775567207597184,,444,qzv3p_f,12,
61,4.1,555.0,-7.755615447907382,,555,dzvp,15,
62,4.1,555.0,-7.764523871891335,,555,tzv2p_f,15,
63,4.1,666.0,-7.750567580554287,,666,dzvp,18,
64,4.1,777.0,-7.747007962911683,,777,dzvp,21,
65,4.15,222.0,-7.843167541991484,-0.322379001880323,222,dzvp,6,-8.165546543871807
66,4.15,222.0,-7.85202191916291,,222,tzv2p_f,6,
67,4.15,222.0,-7.854580754553723,,222,qzv3p_f,6,
68,4.15,,-7.78349353823961,-0.355445990410043,333,dzvp,9,-8.138939528649653
69,4.15,333.0,-7.792372163804664,,333,tzv2p_f,9,
70,4.15,333.0,-7.795487734021095,,333,qzv3p_f,9,
71,4.15,444.0,-7.762384800772258,,444,dzvp,12,
72,4.15,444.0,-7.77116296327724,,444,tzv2p_f,12,
73,4.15,444.0,-7.774303659846991,,444,qzv3p_f,12,
74,4.15,555.0,-7.75462699302175,,555,dzvp,15,
75,4.15,555.0,-7.763274277053799,,555,tzv2p_f,15,
76,4.15,666.0,-7.749563834822506,,666,dzvp,18,
77,4.15,777.0,-7.746190746687541,,777,dzvp,21,
78,4.2,,-7.84077029445045,-0.3205628151990615,222,dzvp,6,-8.161333109649512
79,4.2,222.0,-7.849235976475708,,222,tzv2p_f,6,
80,4.2,222.0,-7.8515898506825,,222,qzv3p_f,6,
81,4.2,,-7.78144361288938,-0.353480805107543,333,dzvp,9,-8.134924417996922
82,4.2,333.0,-7.7900739612015375,,333,tzv2p_f,9,
83,4.2,333.0,-7.792962476824763,,333,qzv3p_f,9,
84,4.2,444.0,-7.76049070459978,,444,dzvp,12,
85,4.2,444.0,-7.769061971221798,,444,tzv2p_f,12,
86,4.2,444.0,-7.771956740292968,,444,qzv3p_f,12,
87,4.2,555.0,-7.752405578081069,,555,dzvp,15,
88,4.2,555.0,-7.760834327433638,,555,tzv2p_f,15,
89,4.2,666.0,-7.747145145139012,,666,dzvp,18,
90,4.2,777.0,-7.744006588391148,,777,dzvp,21,
