,a,E_HF,Nk_str,KMP2 corr,E_CCSD_corr,kpts,basis,Nk,E_CCSD,t_corr,1sfrozen,note
0,3.35,-14.85783092143989,222.0,-0.0131270270785845,-0.0450906649678628,222,dzvp,6,-14.902921586407752,,,
1,3.35,-14.865392472080902,,-0.0172832990893243,-0.0456181195872063,222,qzv3p,6,-14.91101059166811,-0.0056192538555574,,
2,3.35,-14.8353463052177,,,-0.0533646583142607,333,dzvp,9,-14.88871096353196,,True,
3,3.35,-14.84220983843846,333.0,-0.0162015357882899,-0.0537915515377156,333,tzv2p,9,-14.896001389976176,,,
4,3.35,-14.8426962239622,333.0,,-0.053997970742025,333,qzv3p,9,-14.896694194704224,,True,CCSD corr not converged
5,3.4,-14.858734399552548,222.0,-0.0131348725864367,-0.0446296279358971,222,dzvp,6,-14.903364027488445,,,
6,3.4,-14.866208847271931,,-0.0172974053212138,-0.0451637952027178,222,qzv3p,6,-14.91137264247465,-0.0056093169918783,,
7,3.4,-14.836636366059,,,-0.0527640136454565,333,dzvp,9,-14.889400379704457,,True,
8,3.4,-14.84342653675141,333.0,-0.016209219467364,-0.0531897638166072,333,tzv2p,9,-14.896616300568018,,,
9,3.4,-14.8439129618381,333.0,,-0.053395137457184,333,qzv3p,9,-14.897308099295284,,True,CCSD corr not converged
10,3.45,-14.859342093024832,222.0,-0.0131418874364036,-0.0441781567841263,222,dzvp,6,-14.903520249808958,,,
11,3.45,-14.866743262660831,,-0.0173104682441075,-0.0447198712729146,222,qzv3p,6,-14.911463133933745,-0.0056000777903646,,
12,3.45,-14.8376155146359,,,-0.0521785868718367,333,dzvp,9,-14.889794101507736,,True,
13,3.45,-14.844345684319816,333.0,-0.0162161654325406,-0.052602994525574,333,tzv2p,9,-14.896948678845389,,,
14,3.45,-14.8448332579746,333.0,,-0.0528079511665649,333,qzv3p,9,-14.897641209141165,,True,CCSD corr not converged
15,3.5,-14.8596750992631,,,-0.0437361138313665,222,dzvp,6,-14.903411213094467,,True,
16,3.5,-14.867022662991548,,-0.0173225807680905,-0.0442857630216757,222,qzv3p,6,-14.911308426013225,-0.0055914419478994,,
17,3.5,-14.8383056079602,,,-0.0516079632374967,333,dzvp,9,-14.889913571197697,,True,
18,3.5,-14.844994203874496,333.0,-0.0162224422958158,-0.0520305560600047,333,tzv2p,9,-14.897024759934501,,,
19,3.5,-14.845484856482,333.0,,-0.052235607546501,333,qzv3p,9,-14.897720464028502,,True,CCSD corr not converged
20,3.5,-14.831046973091,,,-0.054776024036644,444,dzvp,12,-14.885822997127644,,,est. from frozen thresh 1e-3
21,3.55,-14.859751155565595,222.0,-0.0131511382711568,-0.0433034574706871,222,dzvp,6,-14.903054613036282,,,
22,3.55,-14.867071455603469,,-0.0173338227069435,-0.043860981575536,222,qzv3p,6,-14.910932437179005,-0.0055832764487734,,
23,3.55,-14.838725078253,,,-0.0510518307997581,333,dzvp,9,-14.88977690905276,,True,
24,3.55,-14.845396083826692,333.0,-0.0162281097697068,-0.0514718385057607,333,tzv2p,9,-14.896867922332452,,,
25,3.55,-14.8458929193128,333.0,,-0.0516773717693403,333,qzv3p,9,-14.89757029108214,,True,CCSD corr not converged
26,3.6,-14.859584841099672,222.0,-0.0131556011259844,-0.0428802430334432,222,dzvp,6,-14.902465084133114,,,
27,3.6,-14.86691175942454,,-0.0173442674985192,-0.0434450381244382,222,qzv3p,6,-14.910356797548978,-0.0055755113399693,,
28,3.6,-14.8388891427765,,,-0.0505099807316156,333,dzvp,9,-14.889399123508115,,True,
29,3.6,-14.84557256205252,333.0,-0.0162332197899902,-0.0509263115754866,333,tzv2p,9,-14.896498873628007,,,
30,3.6,-14.8460802150024,333.0,,-0.0511325447900619,333,qzv3p,9,-14.897212759792462,,True,CCSD corr not converged
31,3.65,-14.859187770635229,222.0,-0.0131586487396544,-0.042466622982007,222,dzvp,6,-14.901654393617235,,,
32,3.65,-14.866563576229552,,-0.0173539793848972,-0.0430375043766583,222,qzv3p,6,-14.90960108060621,-0.0055680734987909,,
33,3.65,-14.8388100050609,,,-0.0499823087557419,333,dzvp,9,-14.888792313816642,,True,
34,3.65,-14.845542280986816,333.0,-0.0162378175147366,-0.0503935246961053,333,tzv2p,9,-14.895935805682921,,,
35,3.65,-14.8460673670916,333.0,,-0.0506005122403204,333,qzv3p,9,-14.89666787933192,,True,CCSD corr not converged
