,a,nshells,box_length,E_HF,E_CCSD_corr,basis,E_MP2_corr,frozen E_MP2_corr,frozen E_CCSD_corr,note,t_corr
0,3.9,1,20,-1.893173643480952,-0.0503101241075681,dzvp,,,,,
1,3.9,1,40,-1.8879376957744616,-0.0513101306605834,dzvp,,,,,
2,3.9,1,80,-1.8872644290928229,-0.0514463271826438,dzvp,,,,,
3,3.9,1,160,-1.8871729116455356,-0.0514691379255399,dzvp,,,,,
4,3.9,2,20,-1.8933603517459496,-0.0503905690164688,dzvp,,,,,
5,3.9,2,40,-1.8881083905064344,-0.0513919143108966,dzvp,,,,,
6,3.9,2,80,-1.8874529264366968,-0.0515120854076706,dzvp,,,,,
7,3.9,2,160,-1.887383412740394,-0.051517762729415,dzvp,,,,,
108,3.9,6,60,-1.8877247094216056,,dzvp,,,,,
107,3.9,6,80,-1.887596923043062,,dzvp,,,,,
10,3.9,1,20,-1.8938457320668045,-0.05299897492214969,qzv3p_f,-0.0384798295347914,-0.0384797630813816,-0.0529989084687399,CCSD corr estimated from frozen,-0.0012929963425026
11,3.9,1,40,-1.8885857445339769,-0.054035494519510105,qzv3p_f,-0.0394586675762126,-0.0394586071629283,-0.0540354341062258,CCSD corr estimated from frozen,-0.0013583676697597
12,3.9,1,80,-1.8879514180605792,-0.054139091065789895,qzv3p_f,-0.0395499752884449,-0.0395498213583867,-0.0541389371357317,CCSD corr estimated from frozen,-0.0013645515871065
13,3.9,2,80,-1.8879891650169047,-0.054235649969615406,qzv3p_f,-0.0396978977326351,-0.0396977701921619,-0.0542355224291422,CCSD corr estimated from frozen,
14,3.9,2,160,-1.8879144986450505,-0.0542441885577314,qzv3p_f,-0.0397035275149594,-0.039703380839838,-0.05424404188261,CCSD corr estimated from frozen,
111,3.9,6,60,-1.8881647151420409,,qzv3p_f,,,,,
112,3.9,6,80,-1.8880349830418048,,qzv3p_f,,,,,
8,3.9,2,80,-1.8877666940615672,-0.053943231177921,tzv2p_f,-0.0391768715884637,-0.0391767190580164,-0.0539430786474737,CCSD corr estimated from frozen,
9,3.9,2,160,-1.887686459739613,-0.05395750329496891,tzv2p_f,-0.0391893848886419,-0.0391891536176164,-0.0539572720239434,CCSD corr estimated from frozen,
110,3.9,6,60,-1.88805859821914,,tzv2p_f,,,,,
109,3.9,6,80,-1.8879253566246563,,tzv2p_f,,,,,
19,3.95,1,20,-1.8931441122344927,-0.0501687616711808,dzvp,,,,,
20,3.95,1,40,-1.8878960763513204,-0.0511784431819582,dzvp,,,,,
21,3.95,1,80,-1.8872379183590664,-0.0513027941234168,dzvp,,,,,
22,3.95,1,160,-1.887143531725048,-0.0513278882110797,dzvp,,,,,
15,3.95,2,20,-1.8933282980448336,-0.0502570296187962,dzvp,,,,,
16,3.95,2,40,-1.8880725779056944,-0.0512577807260736,dzvp,,,,,
17,3.95,2,80,-1.887410684636332,-0.0513826313457004,dzvp,,,,,
18,3.95,2,160,-1.8873362048788491,-0.0513920449403674,dzvp,,,,,
114,3.95,6,60,-1.8877022595571744,,dzvp,,,,,
113,3.95,6,80,-1.8875678693598648,,dzvp,,,,,
26,3.95,1,20,-1.8938471852477632,-0.0529702835484085,qzv3p_f,-0.0384302262736857,-0.0384301639173024,-0.0529702211920252,CCSD corr estimated from frozen,-0.00128986659789
27,3.95,1,40,-1.88860397993023,-0.0539907907995221,qzv3p_f,-0.0393898713369509,-0.039389769501728,-0.0539906889642992,CCSD corr estimated from frozen,-0.0013544068115279
28,3.95,2,80,-1.887995704535237,-0.054195820146638006,qzv3p_f,-0.0396331393578591,-0.0396329669916675,-0.0541956477804464,CCSD corr estimated from frozen,
23,3.95,1,160,-1.8874767007944784,-0.053852419856150004,tzv2p_f,-0.0390057023145748,-0.0390055036845889,-0.0538522212261641,CCSD corr estimated from frozen,
24,3.95,2,80,-1.887762186610285,-0.053914105090669295,tzv2p_f,-0.039126630604408,-0.0391265311536389,-0.0539140056399002,CCSD corr estimated from frozen,
25,3.95,2,160,-1.887680180952742,-0.0539298444330862,tzv2p_f,-0.0391413889149031,-0.039141286127828,-0.0539297416460111,CCSD corr estimated from frozen,
115,3.95,6,60,-1.8880497774892135,,tzv2p_f,,,,,
116,3.95,6,80,-1.887925723587338,,tzv2p_f,,,,,
33,4.0,1,20,-1.8931127868454736,-0.0500243525540242,dzvp,,,,,
34,4.0,1,40,-1.8878619387113595,-0.0510364866436053,dzvp,,,,,
35,4.0,1,80,-1.8872241830341336,-0.0511444065739555,dzvp,,,,,
36,4.0,1,160,-1.887120180801297,-0.0511771789450319,dzvp,,,,,
29,4.0,2,20,-1.8933082415606868,-0.0501107646437241,dzvp,,,,,
30,4.0,2,40,-1.8880457241943789,-0.0511130357961855,dzvp,,,,,
31,4.0,2,80,-1.8874049018298007,-0.0512209783681755,dzvp,,,,,
32,4.0,2,160,-1.887325636796651,-0.0512339785510956,dzvp,,,,,
118,4.0,6,60,-1.887678216340722,,dzvp,,,,,
117,4.0,6,80,-1.8875441111673803,,dzvp,,,,,
39,4.0,1,20,-1.8938605152905763,-0.0529308088542321,qzv3p_f,-0.0383658820218781,-0.038365725650835,-0.052930652483189,CCSD corr estimated from frozen,-0.0012851542643437
40,4.0,1,40,-1.88859636431228,-0.05396887608190811,qzv3p_f,-0.0393490636606172,-0.0393489976161261,-0.053968810037417,CCSD corr estimated from frozen,-0.0013521547489562
41,4.0,1,80,-1.887928816725318,-0.0541030734601977,qzv3p_f,-0.0394761100649305,-0.0394760355684354,-0.0541029989637026,CCSD corr estimated from frozen,-0.0013604732943417
42,4.0,2,80,-1.887991836566711,-0.0541648533810122,qzv3p_f,-0.0395794991189371,-0.0395793783640369,-0.054164732626112,CCSD corr estimated from frozen,
37,4.0,1,160,-1.8874631182450528,-0.053833489988316795,tzv2p_f,-0.0389684477050294,-0.0389683265723958,-0.0538333688556832,CCSD corr estimated from frozen,
38,4.0,2,80,-1.8877547176134288,-0.053886423435989796,tzv2p_f,-0.0390791024266159,-0.0390790079296526,-0.0538863289390265,CCSD corr estimated from frozen,
120,4.0,6,60,-1.8880544309961536,,tzv2p_f,,,,,
119,4.0,6,80,-1.8879275153651125,,tzv2p_f,,,,,
47,4.05,1,20,-1.8930613742887268,-0.0498929382799764,dzvp,,,,,
48,4.05,1,40,-1.8878122205572616,-0.0509035587269092,dzvp,,,,,
49,4.05,1,80,-1.8871640472827649,-0.0510195963955758,dzvp,,,,,
50,4.05,1,160,-1.8871148946599328,-0.0510084942731769,dzvp,,,,,
43,4.05,2,20,-1.8932811908802245,-0.049967529492259,dzvp,,,,,
44,4.05,2,40,-1.888022142567186,-0.0509624276143562,dzvp,,,,,
45,4.05,2,80,-1.8873473230557525,-0.0510971154190481,dzvp,,,,,
46,4.05,2,160,-1.8872916787781304,-0.0510911113148909,dzvp,,,,,
121,4.05,6,60,-1.8876449516558904,,dzvp,,,,,
122,4.05,6,80,-1.8875152356071483,,dzvp,,,,,
54,4.05,1,20,-1.893855188376938,-0.05290580034755019,qzv3p_f,-0.0383208069792858,-0.0383206444377227,-0.0529056378059871,CCSD corr estimated from frozen,-0.001282918412066
55,4.05,1,40,-1.888612193397016,-0.0539244147387086,qzv3p_f,-0.0392811538694206,-0.0392810862350922,-0.0539243471043802,CCSD corr estimated from frozen,-0.0013482081274227
56,4.05,1,80,-1.8879151921913664,-0.05408604765407889,qzv3p_f,-0.0394394038314614,-0.039439346308599,-0.0540859901312165,CCSD corr estimated from frozen,-0.0013583497057487
57,4.05,2,80,-1.8879818889406816,-0.054139057564031,qzv3p_f,-0.0395327614176557,-0.0395326361819243,-0.0541389323282996,CCSD corr estimated from frozen,
58,4.05,2,160,-1.8878916337650835,-0.054162182347067,qzv3p_f,-0.0395560708823579,-0.0395559425753296,-0.0541620540400387,CCSD corr estimated from frozen,
53,4.05,1,160,-1.887461568855869,-0.053802016553706505,tzv2p_f,-0.0389182935449215,-0.0389180970648821,-0.0538018200736671,CCSD corr estimated from frozen,
51,4.05,2,80,-1.8877457197511631,-0.0538586727123502,tzv2p_f,-0.0390323983689829,-0.0390323035968079,-0.0538585779401752,CCSD corr estimated from frozen,
52,4.05,2,160,-1.887662364925512,-0.0538756682887712,tzv2p_f,-0.0390489464514745,-0.0390488231418938,-0.0538755449791905,CCSD corr estimated from frozen,
124,4.05,6,60,-1.88805353170916,,tzv2p_f,,,,,
123,4.05,6,80,-1.8879231396031997,,tzv2p_f,,,,,
63,4.1,1,20,-1.8930849915194727,-0.0496990255744704,dzvp,,,,,
64,4.1,1,40,-1.887795492513556,-0.0507420986564484,dzvp,,,,,
65,4.1,1,80,-1.8871529781420069,-0.0508531402385323,dzvp,,,,,
66,4.1,1,160,-1.88705809832217,-0.0508788877544385,dzvp,,,,,
59,4.1,2,20,-1.893245635672255,-0.0498295105655581,dzvp,,,,,
60,4.1,2,40,-1.8879975213828728,-0.050810367685035,dzvp,,,,,
61,4.1,2,80,-1.8873478531587744,-0.0509246368705921,dzvp,,,,,
62,4.1,2,160,-1.8872649627175628,-0.0509404054893332,dzvp,,,,,
126,4.1,6,60,-1.8875963597813092,,dzvp,,,,,
127,4.1,6,80,-1.8874851715627592,,dzvp,,,,,
70,4.1,1,20,-1.8938535673237296,-0.0528769110360503,qzv3p_f,-0.0382710266899385,-0.0382709132320333,-0.0528767975781451,CCSD corr estimated from frozen,-0.0012801013666185
71,4.1,1,40,-1.888608135602984,-0.0538976994355673,qzv3p_f,-0.0392329942207298,-0.0392329005830927,-0.0538976057979302,CCSD corr estimated from frozen,-0.0013454926881697
72,4.1,1,80,-1.8879364823320957,-0.0540355272612469,qzv3p_f,-0.0393646043829366,-0.0393644685503515,-0.0540353914286618,CCSD corr estimated from frozen,-0.0013541323446699
73,4.1,2,80,-1.8879822196219809,-0.054103419209847604,qzv3p_f,-0.0394734643001758,-0.0394733252623768,-0.0541032801720486,CCSD corr estimated from frozen,
74,4.1,2,160,-1.887901186011803,-0.054117874825731105,qzv3p_f,-0.0394866650674682,-0.039486525621791,-0.0541177353800539,CCSD corr estimated from frozen,
69,4.1,1,160,-1.8874633465794148,-0.05376572281537251,tzv2p_f,-0.0388650147270148,-0.0388648110229598,-0.0537655191113175,CCSD corr estimated from frozen,
67,4.1,2,80,-1.8877354188243296,-0.053830634389156994,tzv2p_f,-0.0389862578587167,-0.0389861609264689,-0.0538305374569092,CCSD corr estimated from frozen,
68,4.1,2,160,-1.8876530991049785,-0.053846640831761106,tzv2p_f,-0.0390012978630749,-0.0390012032589972,-0.0538465462276834,CCSD corr estimated from frozen,
129,4.1,3,60,-1.888022483579008,,tzv2p_f,,,,,
130,4.1,6,60,-1.888049532272713,,tzv2p_f,,,,,
128,4.1,6,80,-1.887917517665048,,tzv2p_f,,,,,
79,4.15,1,20,-1.8930587444651688,-0.0495439848845192,dzvp,,,,,
80,4.15,1,40,-1.8877772899703025,-0.0505803163735959,dzvp,,,,,
81,4.15,1,80,-1.8871312035880845,-0.0506938649818527,dzvp,,,,,
82,4.15,1,160,-1.887015533557876,-0.0507367262818873,dzvp,,,,,
75,4.15,2,20,-1.893209199987308,-0.0496913612456332,dzvp,,,,,
76,4.15,2,40,-1.8879550346268248,-0.0506717088150655,dzvp,,,,,
77,4.15,2,80,-1.887303187408276,-0.0507873502330204,dzvp,,,,,
78,4.15,2,160,-1.887198605520446,-0.0508207629520106,dzvp,,,,,
131,4.15,6,60,-1.8875874482951975,,dzvp,,,,,
132,4.15,6,80,-1.8874468349229572,,dzvp,,,,,
86,4.15,1,20,-1.8938403539772968,-0.052857051334793695,qzv3p_f,-0.0382337518313704,-0.0382335392484955,-0.0528568387519188,CCSD corr estimated from frozen,-0.0012788212192679
87,4.15,1,40,-1.8886006278501408,-0.053873414337490697,qzv3p_f,-0.0391884487527372,-0.0391883114775463,-0.0538732770622998,CCSD corr estimated from frozen,-0.0013430024647908
88,4.15,1,80,-1.887938203614429,-0.054002542526607696,qzv3p_f,-0.039309648184404,-0.0393095375020892,-0.0540024318442929,CCSD corr estimated from frozen,-0.0013510625496699
89,4.15,2,80,-1.8879790602560165,-0.054070961235858896,qzv3p_f,-0.0394186504218367,-0.0394185689069168,-0.054070879720939,CCSD corr estimated from frozen,
90,4.15,2,160,-1.8878793145473591,-0.05410305362434339,qzv3p_f,-0.0394522283022401,-0.0394521102679033,-0.0541029355900066,CCSD corr estimated from frozen,
83,4.15,1,160,-1.887453932260536,-0.053738324026539504,tzv2p_f,-0.0388211732649351,-0.0388209684917746,-0.053738119253379,CCSD corr estimated from frozen,
84,4.15,2,80,-1.8877141392375911,-0.053811510152509595,tzv2p_f,-0.0389508921473164,-0.0389508015403848,-0.053811419545578,CCSD corr estimated from frozen,
85,4.15,2,160,-1.8876411499219892,-0.0538187357599973,tzv2p_f,-0.0389560851020604,-0.0389559906664517,-0.0538186413243886,CCSD corr estimated from frozen,
133,4.15,6,60,-1.8880467815860364,,tzv2p_f,,,,,
134,4.15,6,80,-1.88791288530651,,tzv2p_f,,,,,
91,4.2,1,20,-1.8929966893231307,-0.0494184896947312,dzvp,,,,,
92,4.2,1,40,-1.887726682140499,-0.0504448946810097,dzvp,,,,,
93,4.2,1,80,-1.887099221401048,-0.0505428142794253,dzvp,,,,,
94,4.2,1,160,-1.8869798019076145,-0.0505889358951256,dzvp,,,,,
95,4.2,2,20,-1.893182272551048,-0.0495453768895528,dzvp,,,,,
96,4.2,2,40,-1.8879121829682448,-0.050532715988781,dzvp,,,,,
97,4.2,2,80,-1.8872537366747808,-0.0506535849490909,dzvp,,,,,
98,4.2,2,160,-1.887189936185229,-0.0506535749837982,dzvp,,,,,
135,4.2,6,60,-1.8875554607917613,,dzvp,,,,,
136,4.2,6,80,-1.8874237858188545,,dzvp,,,,,
102,4.2,1,20,-1.8938399014468783,-0.052825920886817895,qzv3p_f,-0.0381812084050438,-0.0381809987551472,-0.0528257112369213,CCSD corr estimated from frozen,-0.0012757171058134
103,4.2,1,40,-1.8886049945409784,-0.05383722985835051,qzv3p_f,-0.0391307824085355,-0.0391307228485362,-0.0538371702983512,CCSD corr estimated from frozen,-0.0013396483626653
104,4.2,1,80,-1.88793989376894,-0.053968995737425196,qzv3p_f,-0.0392537214897197,-0.0392534864080752,-0.0539687606557807,CCSD corr estimated from frozen,-0.0013477303570257
105,4.2,2,80,-1.8879730921385287,-0.0540417154005309,qzv3p_f,-0.0393666481311836,-0.0393663895235282,-0.0540414567928755,CCSD corr estimated from frozen,
106,4.2,2,160,-1.8878935619884136,-0.0540545097161202,qzv3p_f,-0.0393786899537806,-0.0393785595348854,-0.054054379297225,CCSD corr estimated from frozen,
139,4.2,6,60,-1.88814611839688,,qzv3p_f,,,,,
140,4.2,6,80,-1.888017447520057,,qzv3p_f,,,,,
99,4.2,1,160,-1.8874360865533584,-0.05371730747789941,tzv2p_f,-0.0387843563818364,-0.0387841557847742,-0.0537171068808372,CCSD corr estimated from frozen,
100,4.2,2,80,-1.887709953248688,-0.0537749488278999,tzv2p_f,-0.038896772414715,-0.0388966721729092,-0.0537748485860941,CCSD corr estimated from frozen,
101,4.2,2,160,-1.8876287412663368,-0.0537899433279016,tzv2p_f,-0.0389111772916117,-0.0389110663723595,-0.0537898324086494,CCSD corr estimated from frozen,
138,4.2,6,60,-1.888041956225067,,tzv2p_f,,,,,
137,4.2,6,80,-1.8879146022095428,,tzv2p_f,,,,,
